Id,Priority,Category,Date Submitted,Updated,Summary
7033,normal,Functional- Bug,17-03-2021,05-04-2021,References and completed tasks
7046,normal,Design- Bug,24-03-2021,05-04-2021,Professionals- submit a proposal
7037,normal,Design- Bug,17-03-2021,05-04-2021,Functional + design issue
7027,normal,Functional- Bug,17-03-2021,25-03-2021,Show password
7051,normal,Design- Bug,24-03-2021,24-03-2021,Change page
7049,normal,Design- Bug,24-03-2021,24-03-2021,Invitation letter
7048,normal,Functional- Bug,24-03-2021,24-03-2021,Relai inviation letter- email
7043,normal,Functional- Suggestion,24-03-2021,24-03-2021,Estate Agent flow
7042,normal,Design- Bug,18-03-2021,18-03-2021,Upload button
7041,normal,Functional- Suggestion,18-03-2021,18-03-2021,Wording- Excel sheet
7039,normal,Functional- Bug,17-03-2021,17-03-2021,Onboarding professionals
7038,normal,Functional- Bug,17-03-2021,17-03-2021,Upload documents
7031,normal,Design- Suggestion,17-03-2021,17-03-2021,Design to be improved
7030,normal,Functional- Bug,17-03-2021,17-03-2021,Qualifications
7028,normal,Functional- Bug,17-03-2021,17-03-2021,Sign up as a professional
7026,normal,Functional- Bug,17-03-2021,17-03-2021,Invite the buyer or seller
7020,normal,Design- Suggestion,17-03-2021,17-03-2021,Design to be improved
7022,normal,Design- Suggestion,17-03-2021,17-03-2021,Colour
7021,normal,Design- Suggestion,17-03-2021,17-03-2021,Design to be improved
7019,normal,Design- Bug,17-03-2021,17-03-2021,Poor design
7018,normal,Design- Suggestion,17-03-2021,17-03-2021,Very poor design
7017,normal,Design- Suggestion,16-03-2021,16-03-2021,Graphic
7016,normal,UI- Suggestion,16-03-2021,16-03-2021,Wording
7007,normal,Design- Suggestion,15-03-2021,16-03-2021,Answers to the document
7008,normal,Functional- Suggestion,15-03-2021,16-03-2021,RelAi process
7012,normal,Functional- Bug,16-03-2021,16-03-2021,Hiring a professional
7006,normal,Design- Suggestion,15-03-2021,15-03-2021,Wording
7005,normal,UI- Suggestion,15-03-2021,15-03-2021,Better UE
7004,normal,Design- Suggestion,15-03-2021,15-03-2021,Privacy
